KEET,Alabaster AL,33.177777,-86.7832222
K8A0,Albertville AL,34.2291111,-86.25575
KALX,Alexander City AL,32.91475,-85.9629444
K79J,Andalusia AL,31.308361,-86.3922222
KANB,Anniston AL,33.588166,-85.8581111
KAUO,Auburn AL,32.615111,-85.434
KEKY,Bessemer AL,33.3126111,-86.9263056
KBHM,Birmingham AL,33.563888,-86.7523056
K9A4,Courtland AL,34.6594167,-87.3489167
KCMD,Cullman AL,34.2686944,-86.8580278
KDCU,Decatur AL,34.6540556,-86.9453611
KDYA,Demopolis AL,32.463833,-87.9540556
KDHN,Dothan AL,31.321027,-85.4494722
KBFM,Downtown Mobile AL,30.6267778,-88.0680833
KEDN,Enterprise AL,31.299722,-85.8998333
KEUF,Eufaula AL,31.951305,-85.1289167
KGZH,Evergreen AL,31.415,-87.0433611
KCQF,Fairhope AL,30.4605,-87.8770278
K0J4,Florala AL,31.0424736,-86.3115611
K4A9,Fort Payne AL,34.4736944,-85.7213889
KHEY,Fort Rucker AL,31.3557342,-85.6518631
KGAD,Gadsden AL,33.972648,-86.0890834
KPRN,Greenville AL,31.845694,-86.61075
KJKA,Gulf Shores AL,30.289638,-87.6717778
K1M4,Haleyville AL,34.280333,-87.6004167
KHSV,Huntsville AL,34.637194,-86.7750556
KJFX,Jasper AL,33.902,-87.3138333
KLOR,Lowe Army Heliport AL,31.3558333,-85.7511667
KA08,Marion AL,32.5105,-87.3847778
KMXF,Maxwell AFB AL,32.3829444,-86.3657778
KMGM,Montgomery AL,32.300638,-86.3939722
KMDQ,Moores Mill AL,34.8593611,-86.5575278
KMSL,Muscle Shoals AL,34.7453056,-87.6102222
KOZR,Ozark AL,31.275775,-85.71335
KPLR,Pell City AL,33.5588333,-86.2490556
K1A9,Prattville AL,32.4387222,-86.5126944
KHUA,Redstone Arsenal AL,34.6786547,-86.6847825
K4A6,Scottsboro AL,34.6886944,-86.0059444
KSEM,Selma AL,32.343946,-86.9878056
KSXS,Shell Army Heliport AL,31.3626694,-85.8493833
KSCD,Sylacauga AL,33.1718333,-86.3055278
KASN,Talladega AL,33.5695042,-86.0512014
KTOI,Troy AL,31.86,-86.0138889
KTCL,Tuscaloosa AL,33.220627,-87.6114015
KMOB,West Mobile AL,30.691416,-88.2428333
