id,lat,lon,slp,temp,cloud,dew_point,weather,wind_dir,wind_speed
KEET,33.177777,-86.7832222,-99999,55.0,4,53.1,TS,330,6
K8A0,34.2291111,-86.25575,-99999,46.4,4,44.6,RA,20,9
KALX,32.91475,-85.9629444,-99999,55.4,4,50.7,-RA,140,5
K79J,31.308361,-86.3922222,1008.4,69.1,8,63.0,,170,3
KANB,33.588166,-85.8581111,1006.8,57.9,8,42.1,-RA,-99999,5
KAUO,32.615111,-85.434,-99999,62.6,8,44.6,,130,8
KEKY,33.3126111,-86.9263056,-99999,51.8,2,51.8,-RA,350,11
KBHM,33.563888,-86.7523056,-99999,52.0,2,48.9,-RA,10,11
KCMD,34.2686944,-86.8580278,-99999,47.3,8,46.2,,20,12
KDCU,34.6540556,-86.9453611,1012.2,46.9,2,45.0,RA,10,10
KDYA,32.463833,-87.9540556,-99999,67.1,4,64.6,,210,5
KDHN,31.321027,-85.4494722,1010.3,69.1,2,64.9,,180,6
KBFM,30.6267778,-88.0680833,1009.0,78.1,7,72.0,,220,10
KEDN,31.299722,-85.8998333,-99999,67.1,8,66.2,,190,5
KGZH,31.415,-87.0433611,-99999,69.1,7,64.9,,200,6
KCQF,30.4605,-87.8770278,-99999,75.2,8,71.6,,220,10
K0J4,31.0424736,-86.3115611,-99999,71.1,2,66.9,,200,10
K4A9,34.4736944,-85.7213889,-99999,48.0,8,46.0,RA,30,6
KHEY,31.3557342,-85.6518631,1008.8,62.1,7,57.2,,0,0
KGAD,33.972648,-86.0890834,1007.9,52.0,2,48.9,RA,70,11
KPRN,31.845694,-86.61075,1007.1,66.0,8,59.0,,180,8
KJKA,30.289638,-87.6717778,-99999,77.4,8,72.5,,230,21
K1M4,34.280333,-87.6004167,954.6,46.0,8,44.1,,50,11
KHSV,34.637194,-86.7750556,-99999,48.0,2,44.1,-RA,70,24
KJFX,33.902,-87.3138333,-99999,50.0,2,50.0,,40,8
KLOR,31.3558333,-85.7511667,1006.6,64.4,7,62.6,,180,6
KA08,32.5105,-87.3847778,-99999,66.0,7,66.0,+RA,220,12
KMXF,32.3829444,-86.3657778,1005.9,64.4,2,59.0,RA,160,11
KMGM,32.300638,-86.3939722,-99999,68.0,7,62.1,,170,6
KMDQ,34.8593611,-86.5575278,-99999,46.9,4,45.7,-RA,80,11
KMSL,34.7453056,-87.6102222,1009.1,48.0,4,45.0,,80,16
KOZR,31.275775,-85.71335,1008.5,66.2,7,64.4,,170,6
KPLR,33.5588333,-86.2490556,-99999,51.8,4,51.8,,30,6
K1A9,32.4387222,-86.5126944,-99999,63.1,8,57.7,,160,3
KHUA,34.6786547,-86.6847825,1012.3,46.9,7,45.5,+RA,10,13
K4A6,34.6886944,-86.0059444,-99999,48.2,4,48.2,RA,350,10
KSEM,32.343946,-86.9878056,-99999,68.0,2,62.6,,190,12
KSXS,31.3626694,-85.8493833,1008.7,65.3,4,61.7,,190,4
KSCD,33.1718333,-86.3055278,-99999,54.1,4,51.4,TS,150,13
KASN,33.5695042,-86.0512014,-99999,52.5,4,49.3,RA,10,5
KTOI,31.86,-86.0138889,-99999,66.9,8,61.0,,170,8
KTCL,33.220627,-87.6114015,1007.3,55.0,2,52.0,,20,14
KMOB,30.691416,-88.2428333,1008.3,75.0,7,70.0,,210,13
