id,lat,lon,slp,temp,cloud,dew_point,weather,wind_dir,wind_speed
KADF,34.0998056,-93.0660833,-99999,51.8,7,-99999,-RA,360,6
KBVX,35.7262222,-91.6474444,-99999,48.2,4,46.4,-RA,-99999,3
KVBT,36.34525,-94.2193361,-99999,48.2,7,46.4,,30,5
KHKA,35.9404167,-89.8308056,-99999,48.9,2,45.0,RA,10,18
KBYH,35.9643333,-89.9439444,-99999,50.0,7,44.6,-RA,20,12
KCDH,33.6228056,-92.7633889,-99999,51.8,7,50.0,,340,8
KCCA,35.59775,-92.4515833,-99999,48.2,0,46.4,,330,3
K4M9,36.4042314,-90.6479264,-99999,48.2,2,48.2,,320,5
KDEQ,34.047,-94.3993611,1014.4,53.1,2,50.0,,350,3
KELD,33.2212378,-92.8117489,1012.9,52.0,8,52.0,,320,9
KFYV,36.0050833,-94.1700556,-99999,50.0,7,46.9,,30,4
KFLP,36.2908889,-92.59025,-99999,48.2,4,46.4,-RA,0,0
KFSM,35.3365833,-94.3674444,1016.5,52.0,7,48.9,,20,10
KHRO,36.2615206,-93.1547289,-99999,46.9,7,45.0,,320,5
KHOT,34.4780278,-93.0962222,-99999,51.1,7,46.9,,30,9
KLRF,34.9175121,-92.145001,1015.5,50.0,4,48.2,,20,6
KLIT,34.7294444,-92.2247778,-99999,48.9,4,46.9,,10,12
KMEZ,34.5453889,-94.2026389,-99999,51.8,4,50.0,,20,8
KLLQ,33.6385556,-91.751,1011.5,53.1,8,51.1,,-99999,3
KMWT,34.55,93.58,-99999,51.1,7,48.0,,-99999,-99999
KBPK,36.3689419,-92.4705281,1016.8,46.9,2,46.9,-RA,-99999,3
KM19,35.6377222,-91.1763889,1015.3,46.9,2,46.0,-RA,20,18
KPBF,34.1745131,-91.9356042,-99999,51.1,7,48.0,-RA,350,11
KROG,36.3724167,-94.1069722,-99999,46.4,7,46.4,,20,4
KRUE,35.2592831,-93.0926222,1015.6,50.0,8,46.9,,350,5
KSRC,35.2106097,-91.7375394,-99999,48.2,7,48.2,-RA,10,8
KSLG,36.1918611,-94.49,-99999,48.2,2,46.4,,20,5
KASG,36.1763889,-94.11925,-99999,46.4,4,46.4,-RA,40,9
KXNA,36.2815792,-94.3077656,1017.7,46.9,4,45.0,,20,8
KSGT,34.5994785,-91.5750003,1013.2,51.1,7,50.0,-RA,10,18
KTXK,33.4537222,-93.9910278,1014.2,52.0,8,52.0,-RA,340,8
KARG,36.1246667,-90.9251111,-99999,48.2,2,46.4,-RA,360,9
KAWM,35.1350556,-90.2344444,-99999,51.1,2,48.9,RA,350,11
