id,lat,lon,slp,temp,cloud,dew_point,weather,wind_dir,wind_speed
KABY,31.535527,-84.1944722,1011.0,64.9,7,54.0,,0,0
KAMG,31.5360556,-82.5065556,1011.0,61.0,2,54.0,,200,4
KACJ,32.110805,-84.1888611,-99999,66.2,8,53.6,,120,4
KAHN,33.9486389,-83.3259167,1010.6,61.0,7,44.1,,100,5
KATL,33.636699,-84.427864,1008.5,60.1,4,39.9,,130,6
KAGS,33.3699444,-81.9645,1010.4,59.0,2,53.1,,0,0
KBGE,30.971598,-84.6369278,-99999,72.9,7,69.1,,210,9
KBHC,31.7138333,-82.3937778,-99999,62.6,4,53.6,,0,0
KDZJ,34.8544444,-83.9973333,-99999,54.9,7,37.9,,110,14
KBIJ,31.397508,-84.8947978,-99999,62.6,8,55.4,,0,0
KBQK,31.2590347,-81.4663158,-99999,68.7,4,53.4,,0,0
K6A1,32.569771,-84.2451758,-99999,63.0,4,43.7,,120,5
KCZL,34.4553889,-84.9391667,-99999,51.8,8,44.6,-RA,310,6
KCXU,31.2131667,-84.2352222,-99999,68.0,4,62.4,,0,0
K18A,34.3403611,-83.1308056,-99999,59.9,8,38.5,,110,9
KCNI,34.3122192,-84.4221528,-99999,55.4,8,41.0,,90,8
KCTJ,33.6316964,-85.1522641,-99999,56.1,4,39.6,,130,9
KVPC,34.1231475,-84.8487067,1007.4,55.9,8,46.0,,0,0
KCWV,32.1950514,-81.8695597,-99999,64.9,0,55.2,,0,0
KRYY,34.0131667,-84.5970278,980.8,57.0,8,42.1,,-99999,5
KCSG,32.516333,-84.9388611,1008.9,61.0,8,48.0,,130,4
KCKF,31.9888333,-83.7739167,-99999,65.3,4,47.1,,150,3
KAJR,34.4998483,-83.5566701,-99999,56.8,7,36.9,,100,9
KCVC,33.6322475,-83.8466189,-99999,60.8,7,42.8,,120,3
KDNN,34.7229444,-84.87025,-99999,51.8,4,44.6,+RA,320,6
KDNL,33.4665833,-82.0393889,1010.7,63.0,2,41.0,,80,8
KPDK,33.8756111,-84.3019722,1008.4,57.9,7,39.9,,-99999,4
KDQH,31.4767385,-82.8605664,-99999,64.9,8,53.6,,0,0
KDBN,32.5647222,-82.9849722,-99999,59.0,4,53.6,,0,0
KEZM,32.2163889,-83.1286667,-99999,60.3,4,56.1,,0,0
K49A,34.6281944,-84.5265556,-99999,54.5,8,40.3,RA,50,4
KFZG,31.6839046,-83.2709036,-99999,66.2,8,55.0,,0,0
KLSF,32.3317806,-84.9871522,1008.5,60.8,7,53.6,,120,4
KLHW,31.8878228,-81.5626522,1010.8,63.3,7,51.3,,0,0
KFTY,33.7791264,-84.521366,1007.9,60.1,7,39.0,,80,5
KGVL,34.272627,-83.8302233,1009.6,57.0,7,39.9,,90,11
K3J7,33.5979722,-83.13825,-99999,62.6,4,42.8,,80,3
K6A2,33.2269722,-84.2749444,-99999,59.0,4,42.8,,100,3
KAZE,31.8851902,-82.647891,-99999,67.1,0,49.6,,0,0
KHOE,31.0568889,-82.7752778,-99999,68.0,4,64.4,,0,0
KSVN,32.0100203,-81.1459878,1010.4,64.9,7,51.6,,260,3
KJZP,34.4534722,-84.4572222,-99999,56.5,8,37.2,-RA,170,14
KJCA,34.1761389,-83.5616944,-99999,60.8,7,41.0,,110,12
KJES,31.5539722,-81.8825,-99999,64.4,0,55.4,,0,0
K9A5,34.6885,-85.2903056,-99999,47.7,4,46.4,,360,4
KLGC,33.008861,-85.0726111,-99999,59.0,7,45.0,,140,8
KLZU,33.9780761,-83.9623772,1010.4,57.9,8,44.1,,80,9
KMCN,32.6928333,-83.6492222,1010.5,60.1,7,55.9,,0,0
KMGE,33.9144417,-84.5142472,1007.7,58.5,7,40.8,,100,9
KMLJ,33.154225,-83.2414139,-99999,60.8,7,46.4,,110,4
KVAD,30.9687,-83.1929639,1010.9,71.6,7,68.0,,230,5
KMGR,31.0849167,-83.80325,-99999,69.8,0,66.2,,210,4
KCCO,33.3115656,-84.7697554,-99999,61.0,7,47.5,,130,11
KPUJ,33.9120431,-84.9406194,-99999,53.6,7,41.0,,140,4
KFFC,33.357722,-84.5725278,1009.2,60.1,4,45.0,,160,5
KPXE,32.5105833,-83.7673333,-99999,62.4,4,50.7,,100,5
KRMG,34.350777,-85.1586667,1007.2,54.0,8,43.0,-RA,20,4
KOKZ,32.9667222,-82.8381667,-99999,61.5,4,45.3,,70,6
KSAV,32.1275833,-81.2021389,1010.9,64.9,4,55.0,,0,0
KSSI,31.1519722,-81.3910556,-99999,70.0,7,55.0,,290,3
KTBR,32.48275,-81.7369444,-99999,62.4,4,52.2,,0,0
KSBO,32.6091389,-82.3699444,-99999,60.8,4,53.6,,0,0
KJYL,32.6452778,-81.5971111,-99999,62.1,8,55.6,,0,0
KOPN,32.955002,-84.2640862,-99999,60.8,7,46.4,,150,6
KTVI,30.9014722,-83.8814444,-99999,71.6,7,68.0,,200,4
KHQU,33.5297222,-82.5169444,-99999,59.7,8,48.6,,140,5
KTMA,31.4295556,-83.4892222,-99999,68.2,8,65.3,,200,4
KTOC,34.5928117,-83.2963717,-99999,58.3,7,43.3,,90,4
KVLD,30.7813722,-83.2762194,-99999,72.0,8,68.0,,-99999,4
KVDI,32.1927222,-82.3711667,-99999,64.4,4,46.4,,0,0
KWRB,32.6401708,-83.5919208,1010.9,60.6,7,58.3,,0,0
KIIY,33.7794167,-82.8158333,-99999,60.8,4,44.6,,80,6
KAYS,31.2483889,-82.3953889,-99999,67.8,7,54.9,,0,0
KWDR,33.9828611,-83.6674167,-99999,60.8,7,41.0,,120,4
