id,lat,lon,slp,temp,cloud,dew_point,weather,wind_dir,wind_speed
KAEX,31.3273717,-92.5485561,1011.1,60.1,8,57.9,,320,14
KESF,31.3949025,-92.2957719,-99999,61.0,8,57.0,,300,8
KBAD,32.5019333,-93.6626278,1013.8,55.4,7,55.4,,310,11
KBQP,32.7560833,-91.8805833,-99999,55.0,8,54.5,,290,4
KBTR,30.5329167,-91.1498889,1009.0,75.0,4,70.0,,240,13
KBXA,30.8136864,-89.8649644,-99999,75.4,7,69.8,,270,10
KCWF,30.2105833,-93.1431944,-99999,73.4,7,69.8,,290,12
K5R8,30.4410833,-93.4736111,-99999,70.2,7,63.7,,300,12
KDRI,30.8317222,-93.3399167,-99999,65.5,7,59.9,,310,17
KDTN,32.5402189,-93.7450225,-99999,57.0,7,53.1,,290,8
KEIR,28.63,-91.49,-99999,75.2,7,75.2,,230,18
KPOE,31.0447824,-93.1916421,1012.2,60.8,8,57.2,,310,13
KGAO,29.4411111,-90.2611111,-99999,77.9,7,70.7,,230,19
KHDC,30.5216874,-90.4183808,-99999,75.2,7,69.8,,260,12
KHUM,29.5665021,-90.6604267,-99999,75.2,7,71.6,,230,9
K3R7,30.242699,-92.6734993,-99999,74.1,7,69.8,,280,10
KLFT,30.2050278,-91.98775,1009.9,75.0,4,70.0,-RA,250,11
KLCH,30.1260833,-93.2234167,-99999,75.0,2,69.1,,290,5
K3F3,32.0727778,-93.7656111,-99999,56.3,8,53.6,,280,5
KMNE,32.6460278,-93.2980833,-99999,55.2,8,54.3,,300,10
KMLU,32.5108611,-92.0376667,-99999,55.9,7,54.0,,330,11
KIER,31.73572,-93.0991364,-99999,56.7,7,54.7,,310,13
KARA,30.0377583,-91.8838961,1010.2,75.0,4,73.9,,250,12
KMSY,29.9932778,-90.2590278,1009.6,77.0,4,71.1,RA,230,11
KNEW,30.0424167,-90.02825,-99999,-99999,4,-99999,,-99999,-99999
KNBG,29.8272146,-90.0265891,1009.6,75.9,2,73.0,,220,16
KHZR,30.7183333,-91.4786667,-99999,73.4,7,66.2,,310,14
KACP,30.7504998,-92.6884914,-99999,68.0,4,64.4,,310,10
KOPL,30.5583889,-92.0993889,-99999,71.6,4,64.9,,300,10
KPTN,29.7095464,-91.3389786,1010.6,75.0,8,73.0,,250,16
KXPY,29.12,-90.2,-99999,78.8,2,73.4,,230,18
KRSN,32.5146018,-92.5884434,-99999,54.7,7,51.8,,340,8
KP92,29.56,-91.52,1010.1,73.0,7,71.1,,250,5
KSHV,32.4466111,-93.8256111,-99999,55.9,2,54.0,,290,9
KASD,30.3463333,-89.8208056,1008.7,77.0,7,70.0,,210,10
KUXL,30.1314444,-93.3761667,-99999,74.5,7,69.6,,300,9
KTVR,32.3516111,-91.0276887,-99999,59.0,8,55.0,,300,5
K0R4,31.562,-91.5064722,-99999,60.6,4,56.7,,320,17
