id,lat,lon,slp,temp,cloud,dew_point,weather,wind_dir,wind_speed
KASJ,36.2975278,-77.1708611,-99999,50.9,0,46.2,,20,4
KVUJ,35.4166947,-80.1507956,-99999,57.2,7,36.1,,60,11
KRHP,35.1952297,-83.8630386,-99999,48.0,4,46.4,-RA,360,3
KHBI,35.6545278,-79.89475,-99999,55.4,7,38.3,,60,4
KAVL,35.4344444,-82.5427289,1011.4,52.0,4,36.0,-RA,0,0
KMRH,34.73375,-76.6603611,1013.2,60.1,0,46.0,,40,13
KBUY,36.0497278,-79.4730096,1013.4,55.9,7,37.9,,60,11
KHFF,35.0366091,-79.4973089,1014.3,57.2,2,41.0,,90,13
KCLT,35.21375,-80.9490556,1011.6,59.0,7,30.0,,40,13
KNKT,34.9031686,-76.8807734,1013.5,59.0,8,44.1,,30,18
KCTZ,34.9749389,-78.3656292,-99999,56.8,0,44.6,,40,4
KJQF,35.387775,-80.7091361,-99999,57.2,8,33.8,,30,6
KONX,36.399944,-76.0154444,-99999,48.9,8,47.5,,30,11
K2DP,35.67,-75.9,-99999,54.5,7,48.9,,30,11
KEDE,36.0277345,-76.5670922,-99999,53.1,0,48.2,,50,6
KECG,36.2605833,-76.1745556,-99999,53.1,7,46.0,,30,13
KEYF,34.6018042,-78.5792708,-99999,59.0,0,42.4,,70,9
KHRJ,35.3801564,-78.7322358,-99999,55.8,4,40.8,,60,10
KFAY,34.9912222,-78.8802778,1012.5,57.0,2,39.9,,40,12
KFBG,35.1320694,-78.9362069,1013.4,55.8,2,41.7,,60,12
K1A5,35.2223122,-83.4199966,-99999,48.9,8,45.5,-RA,0,0
KAKH,35.2026389,-81.1498889,1011.6,60.1,8,30.9,,40,10
KGSB,35.3393847,-77.9605944,1014.5,55.4,7,41.0,,50,12
KGSO,36.1013259,-79.9411234,1012.9,53.1,2,37.0,,70,11
KPGV,35.6356944,-77.3840833,-99999,53.6,0,42.8,,50,8
KHSE,35.2328056,-75.6178056,1012.9,59.0,2,44.1,-RA,40,13
KHKY,35.7411464,-81.3895489,1011.2,54.0,2,32.0,,60,8
KOAJ,34.8291667,-77.6121389,1014.3,55.9,0,45.0,,50,16
KGEV,36.4324722,-81.4185,-99999,44.2,0,28.9,,20,4
KDPL,35.0000278,-77.9816667,-99999,57.2,0,41.0,,50,6
KFFA,36.0175833,-75.6715833,-99999,47.8,8,47.8,,20,10
KISO,35.3314444,-77.6088333,-99999,55.4,7,42.8,,60,10
KEXX,35.7811389,-80.3037778,-99999,56.3,7,33.6,,70,14
KIPJ,35.4831417,-81.1615056,-99999,55.8,7,34.3,,50,6
KLHZ,36.0233611,-78.33025,-99999,51.8,7,42.8,,70,8
KMQI,35.9189827,-75.6955357,-99999,49.3,8,47.5,,40,12
KMEB,34.7921742,-79.3658953,1013.1,61.0,2,39.9,,80,9
KEQY,35.0174198,-80.622051,1012.8,60.1,0,32.0,,50,6
KMRN,35.8202222,-81.6114167,-99999,55.6,8,34.9,,0,0
KMWK,36.4613617,-80.5532103,-99999,53.8,0,34.9,,60,16
KEWN,35.0728525,-77.0430201,1014.1,55.0,2,45.0,,40,13
KNCA,34.7084333,-77.4396611,1013.7,59.0,7,44.1,,40,13
KUKF,36.2236021,-81.0986063,-99999,51.8,8,32.0,,0,0
KSUT,33.9308056,-78.0733611,-99999,62.8,0,50.0,,70,11
KHNZ,36.3611389,-78.5298333,-99999,49.5,0,38.3,,80,9
KGWW,35.4605556,-77.9649167,-99999,52.9,7,42.4,-RA,0,0
KSOP,35.2374167,-79.3890278,1014.1,55.0,2,43.0,,80,9
KNBT,35.02,-76.46,1014.0,59.0,2,42.1,,30,19
KPOB,35.1708889,-79.0144958,1013.1,57.2,8,41.0,,100,13
KRDU,35.8776389,-78.7874722,1014.5,54.0,2,41.0,,80,12
KSIF,36.4372222,-79.851,-99999,54.0,7,37.4,,50,6
KIXA,36.3298056,-77.6352222,-99999,50.0,0,46.4,,50,4
KRCZ,34.8913056,-79.7596111,-99999,59.4,0,29.7,,60,5
KRWI,35.8562528,-77.8919333,1015.2,53.1,4,42.1,,70,5
KFQD,35.4282222,-81.9350778,-99999,55.4,8,32.0,,50,6
KRUQ,35.6458833,-80.5202917,-99999,56.5,4,32.4,,60,9
KTTA,35.5824394,-79.1013378,-99999,54.7,7,40.5,,60,4
KSCR,35.7042745,-79.5042976,-99999,54.1,8,41.5,,60,9
KJNX,35.5409444,-78.3903333,-99999,53.6,4,42.8,,50,4
KSVH,35.765,-80.9538889,-99999,55.4,4,33.3,,70,8
KNJM,34.6901333,-77.0290306,1014.0,60.1,0,46.0,,50,12
KETC,35.9372667,-77.5464819,-99999,52.3,7,42.4,,40,6
KAFP,35.0206377,-80.0771181,-99999,59.9,0,36.0,,70,10
KOCW,35.5704722,-77.0498056,-99999,53.1,8,42.6,,40,6
KTNB,36.2,-81.65,-99999,46.6,8,28.4,,0,0
KCPC,34.2728611,-78.715,-99999,61.0,0,43.5,,50,13
KILM,34.2711389,-77.9028889,1013.1,61.0,0,45.0,,40,10
KINT,36.1337138,-80.2219877,1013.7,54.0,7,35.1,,70,5
