id,lat,lon,slp,temp,cloud,dew_point,weather,wind_dir,wind_speed
KAAF,29.7275489,-85.0273774,1011.3,-99999,7,-99999,,-99999,-99999
K1J0,30.8457778,-85.6013889,1006.4,64.0,7,61.0,,0,0
KBKV,28.4736111,-82.4554167,1013.1,75.0,2,68.0,,210,6
KCEW,30.778833,-86.5221111,-99999,75.9,7,69.1,,210,12
KCTY,29.6355278,-83.10475,-99999,72.9,4,69.8,,200,5
KDAB,29.1799167,-81.0580556,1012.5,73.0,4,68.0,,230,8
K54J,30.731111,-86.1537778,-99999,72.3,7,68.9,,230,4
KDED,29.0670278,-81.28375,-99999,75.2,7,64.4,,220,9
KDTS,30.400054,-86.4714729,1009.1,77.0,2,71.1,,220,10
KEGI,30.6485869,-86.5219594,1009.0,74.8,0,70.7,,220,10
KVPS,30.4832194,-86.5260443,1009.7,77.0,7,71.6,,230,10
KFHB,30.6118333,-81.4611944,-99999,69.8,8,-99999,,250,11
KFIN,29.4651511,-81.2076483,-99999,71.6,7,66.2,,260,3
KGNV,29.6900556,-82.2717778,1012.8,69.1,0,68.0,,210,5
KCRG,30.3363333,-81.5144444,-99999,72.0,4,69.1,,240,6
KJAX,30.4940556,-81.6878333,-99999,70.0,8,66.9,,260,5
KNIP,30.233706,-81.6760572,-99999,73.0,7,66.9,,250,9
KISM,28.2898056,-81.4370833,1013.4,73.9,0,68.0,,220,8
KLCQ,30.1820556,-82.5768611,-99999,68.0,7,68.0,,220,5
KLCQ,30.1820556,-82.5768611,-99999,68.0,7,68.0,,220,5
KLEE,28.8228889,-81.8084167,1013.1,75.0,2,66.0,,210,8
K24J,30.3003889,-83.0243889,-99999,69.8,4,69.8,,190,4
KMAI,30.837805,-85.1818889,-99999,70.0,4,68.0,,180,5
KHRT,30.4289181,-86.6888011,1008.9,77.0,2,71.4,,210,13
KNRB,30.3913742,-81.4245212,-99999,72.0,4,68.0,,260,10
KMLB,28.10275,-80.64525,1012.8,73.9,4,66.0,,220,9
KNSE,30.722472,-87.0239028,1007.3,75.0,4,70.0,,210,12
KOCF,29.1718768,-82.2241146,1013.1,71.1,4,68.0,,200,4
KORL,28.5454617,-81.33293,1013.1,75.9,0,64.9,,210,8
KMCO,28.4293889,-81.309,1012.7,75.0,2,64.9,,210,12
K28J,29.6583825,-81.6895031,-99999,68.0,2,62.6,,270,4
KECP,30.35825,-85.7956111,1011.0,75.9,4,70.0,,190,9
KPNS,30.473425,-87.1866122,-99999,75.0,7,72.0,,210,12
KNPA,30.3532728,-87.3179711,-99999,78.1,4,72.0,,210,18
K40J,30.0692778,-83.5805833,-99999,72.7,0,71.8,,240,10
KPCM,28.0001667,-82.1633056,-99999,77.0,0,73.4,,210,10
K2J9,30.5978708,-84.557425,-99999,71.6,8,71.6,,220,10
KSFB,28.7771781,-81.2349139,1012.5,75.9,0,66.0,,230,8
KSGJ,29.9592517,-81.3397325,-99999,71.6,2,68.0,,260,5
KPAM,30.0690475,-85.5749814,1010.8,76.3,2,71.8,,210,13
KNDZ,30.698575,-87.0144083,1007.2,75.9,4,69.1,,-99999,5
KGIF,28.0629167,-81.7533056,1013.4,73.9,0,69.1,,210,9
KZPH,28.228,-82.156,-99999,75.2,4,68.9,,-99999,-99999
