id,lat,lon,slp,temp,cloud,dew_point,weather,wind_dir,wind_speed
KAIK,33.6493889,-81.6850278,-99999,62.1,8,40.6,,50,9
KAQX,32.9951111,-81.27025,-99999,60.8,7,51.8,,0,0
KAND,34.4945833,-82.7093889,1010.9,61.0,8,36.0,,90,8
KARW,32.4121667,-80.6343542,-99999,68.0,4,55.4,,0,0
KNBC,32.4805668,-80.7192441,1010.4,66.9,7,55.9,,0,0
KBBP,34.6217086,-79.7343594,-99999,60.8,0,41.0,,60,8
KCHS,32.8986389,-80.0405278,1010.7,64.9,2,52.0,,40,4
KJZI,32.7010278,-80.00325,-99999,69.8,0,53.6,,20,5
KCQW,34.7128611,-79.957,-99999,64.4,0,35.6,,80,12
KDCM,34.7893333,-81.1957778,-99999,60.8,7,32.0,,80,6
KCEU,34.6722222,-82.8858889,1011.3,57.9,8,37.9,,70,6
KCAE,33.9388378,-81.1195361,1010.9,64.9,4,36.0,,70,9
KHYW,33.8284875,-79.1221763,-99999,62.6,0,42.8,,50,6
KUDG,34.4493845,-79.8900608,1012.4,61.0,0,37.9,,60,10
KGYH,34.7583056,-82.3764167,-99999,59.0,8,32.0,,50,13
KMMT,33.9207704,-80.8011422,1012.0,61.9,4,39.7,,40,8
KFLO,34.1853611,-79.7238889,1011.9,63.0,0,37.0,,40,9
KGGE,33.3114167,-79.3203056,-99999,64.4,7,44.6,,70,6
KGMU,34.8479444,-82.35,1011.6,59.0,7,35.1,,60,10
KGRD,34.2503938,-82.1578093,1012.3,59.0,8,37.9,,60,3
KGSP,34.8956667,-82.2188611,1011.7,55.9,8,36.0,,30,5
KHVS,34.4030833,-80.1192222,-99999,64.4,0,32.0,,70,12
KHXD,32.224495,-80.6974008,-99999,69.8,7,57.2,,0,0
KCKI,33.7172222,-79.8569722,-99999,62.6,4,39.2,,30,3
KLKR,34.7229044,-80.8545901,-99999,60.8,7,35.6,,0,0
KLUX,34.5071111,-81.9469444,-99999,59.0,4,35.6,,80,5
KMNI,33.5871111,-80.2086667,-99999,62.6,0,42.8,,50,6
KMAO,34.1811667,-79.3347222,-99999,60.8,0,41.0,,60,11
KMKS,33.1855,-80.03625,-99999,64.4,7,48.2,,80,9
KLRO,32.8978333,-79.7828611,-99999,66.2,2,53.6,,0,0
KMYR,33.67975,-78.9283333,1012.3,64.0,0,41.0,,20,9
KEOE,34.3093333,-81.6406667,-99999,60.8,7,37.4,,50,5
KCRE,33.81175,-78.7239444,1012.2,64.9,0,45.0,,40,12
KOGB,33.4569178,-80.8594067,1010.9,62.1,4,44.1,,60,6
KCUB,33.9704722,-80.99525,1011.7,64.0,7,37.9,,-99999,4
KLQK,34.8099722,-82.7028889,-99999,59.0,8,35.6,,80,6
KUZA,34.9878333,-81.0571667,1011.5,60.1,0,28.9,,80,5
KSSC,33.972724,-80.4705644,1011.9,61.2,2,40.3,,50,9
KSPA,34.9164167,-81.9557778,-99999,59.0,8,32.0,,90,4
KDYB,33.0622778,-80.2809167,-99999,66.2,4,53.6,,-99999,4
KSMS,33.9950256,-80.3613289,-99999,62.6,2,39.2,,-99999,6
KRBW,32.921,-80.6406111,-99999,62.6,4,50.0,,60,6
KFDW,34.3157222,-81.1085556,-99999,60.8,7,37.4,,60,5
