id,lat,lon,slp,temp,cloud,dew_point,weather,wind_dir,wind_speed
KMMI,35.3991944,-84.5617778,-99999,48.2,7,44.6,,-99999,4
KM08,35.2151389,-89.04325,-99999,48.2,7,46.4,,20,8
KTRI,36.4752078,-82.4074153,1011.3,48.9,7,39.9,,0,0
KCHA,35.0351944,-85.2035556,1009.1,51.1,7,46.9,RA,10,13
KCKV,36.6218611,-87.4149444,1013.0,46.0,7,43.0,-RA,90,9
KRZR,35.2123364,-84.7991994,-99999,48.2,2,48.2,,20,10
KMRC,35.5543889,-87.1791389,-99999,48.2,7,48.2,,60,13
KCSV,35.9512918,-85.0849782,-99999,43.0,2,39.9,-RA,40,13
KDKX,35.9638333,-83.8736667,-99999,48.2,2,44.6,,0,0
KDYR,35.9979722,-89.4065833,-99999,-99999,2,-99999,,-99999,-99999
K0A9,36.3712222,-82.1734167,-99999,46.4,4,44.6,-RA,0,0
KFYM,35.0596944,-86.564,-99999,46.4,2,46.4,,70,14
KHZD,36.0892974,-88.4632988,-99999,46.4,2,44.6,,30,9
KJAU,36.3340889,-84.1629653,-99999,46.4,4,44.6,,30,5
KMKL,35.5998889,-88.9156111,1011.3,48.9,7,46.0,,60,9
KTYS,35.8093739,-83.9953214,1010.2,50.0,4,42.1,-RA,50,9
KPVE,35.6563617,-88.1953523,-99999,48.2,7,42.8,,50,10
KRNC,35.6987094,-85.8438172,-99999,46.4,2,44.6,,60,8
KMEM,35.0424114,-89.9766792,1010.5,51.1,7,48.0,-RA,50,13
KNQA,35.3566389,-89.8704167,-99999,50.0,8,46.4,,50,9
KMOR,36.1793889,-83.3754444,-99999,48.2,8,44.6,,80,4
KBNA,36.1244722,-86.6781667,-99999,46.9,4,42.1,-RA,40,11
KOQT,36.02,-84.23,1011.4,48.9,4,42.1,-RA,-99999,4
KPHT,36.3359444,-88.3844444,-99999,46.4,7,42.8,,30,6
K1M5,36.5928611,-86.4769167,-99999,44.6,2,44.6,,80,5
KSNH,35.17025,-88.2167222,-99999,50.0,8,46.4,,50,6
KGKT,35.8577589,-83.5287047,-99999,48.2,7,46.4,,0,0
KSYI,35.5593889,-86.4424722,-99999,46.4,0,46.4,,50,9
KMQY,36.0089722,-86.5200833,-99999,46.4,4,44.6,-RA,50,11
KSRB,36.0567386,-85.5301081,-99999,44.6,4,42.8,,-99999,4
KM91,36.5366944,-86.9211667,-99999,46.4,2,44.6,,80,6
KTHA,35.3800295,-86.2463536,-99999,46.4,2,44.6,,70,9
KUCY,36.379744,-88.9857038,-99999,48.2,4,46.4,,350,3
KBGF,35.1775278,-86.0661667,-99999,46.4,2,46.4,,-99999,4
